2026-05-12 11:27:36 │ INFO     │ trading_bot          │ Logging initialised → logs/trading_bot_20260512_112736.log
2026-05-12 11:27:36 │ INFO     │ trading_bot.client   │ Initialising Binance Futures Testnet client…
2026-05-12 11:27:37 │ INFO     │ trading_bot.client   │ Testnet reachable (server time: 1778565457799)
2026-05-12 11:27:38 │ INFO     │ trading_bot.client   │ Authenticated successfully — canTrade=True, balance=4999.96751632 USDT
2026-05-12 11:27:38 │ DEBUG    │ trading_bot.client   │ [TickerPrice] Attempt 1/3 → futures_symbol_ticker({'symbol': 'BTCUSDT'})
2026-05-12 11:27:38 │ DEBUG    │ trading_bot.client   │ [TickerPrice] Response: {'symbol': 'BTCUSDT', 'price': '81229.90', 'time': 1778565457515}
2026-05-12 11:27:38 │ INFO     │ trading_bot.client   │ Placing LIMIT order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.001, 'price': '90000.0', 'timeInForce': 'GTC'}
2026-05-12 11:27:38 │ DEBUG    │ trading_bot.client   │ [LimitOrder] Attempt 1/3 → futures_create_order({'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.001, 'price': '90000.0', 'timeInForce': 'GTC'})
2026-05-12 11:27:39 │ ERROR    │ trading_bot.client   │ [LimitOrder] Binance API error (code=-4016): Limit price can't be higher than 85292.13.
2026-05-12 11:27:39 │ WARNING  │ trading_bot.client   │ [LimitOrder] Retrying in 2s…
2026-05-12 11:27:41 │ DEBUG    │ trading_bot.client   │ [LimitOrder] Attempt 2/3 → futures_create_order({'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.001, 'price': '90000.0', 'timeInForce': 'GTC'})
2026-05-12 11:27:41 │ ERROR    │ trading_bot.client   │ [LimitOrder] Binance API error (code=-4016): Limit price can't be higher than 85291.88.
2026-05-12 11:27:41 │ WARNING  │ trading_bot.client   │ [LimitOrder] Retrying in 4s…
2026-05-12 11:27:45 │ DEBUG    │ trading_bot.client   │ [LimitOrder] Attempt 3/3 → futures_create_order({'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.001, 'price': '90000.0', 'timeInForce': 'GTC'})
2026-05-12 11:27:45 │ ERROR    │ trading_bot.client   │ [LimitOrder] Binance API error (code=-4016): Limit price can't be higher than 85291.91.
2026-05-12 11:27:45 │ ERROR    │ trading_bot.orders   │ API error placing LIMIT order: API call futures_create_order failed after 3 attempts
